296,53,Deja Hatcher,74,8,3f,Marree,4,12,5,1,-0.178
297,53,Atlas Shim,77,8,5m,Arrows,5,9,4,1,-0.192
298,53,Hawthorn Fray,58,8,9m,Snakebird,5,9,5,0,-0.206
299,53,Sticky Washington,65,8,6m,Shine,5,9,5,0,-0.206
300,52,Cherry Grace,55,7,5f,Sunnyian,4,11,4,1,-0.219
301,52,Tobias LaChance,77,8,7m,Dars,3,20,10,0,-0.226
302,52,Imp Stole,70,8,8f,Grim,5,12,6,0,-0.242
303,52,Nocturne Vargas,67,8,9m,Lalia,4,15,8,0,-0.251
304,52,Beatrice Birch,65,8,2f,Meghan,4,13,3,2,-0.285
305,52,Eryn Sconoscuito,72,9,7f,Cameo,5,11,6,0,-0.303
306,51,Deimos Lasner,64,8,7m,Kire,2,16,8,1,-0.305
307,51,July Cartwright,68,9,7f,Loki,4,12,5,1,-0.343
308,51,Stella Summit,70,8,7f,Avalon,4,13,7,0,-0.360
309,51,Gregor McGregor,76,9,2m,Aya,BB,24,11,0,-0.406
310,51,Lorenza Aita,76,9,1f,Kaplan,4,16,6,1,-0.407
311,51,Eva Tidestone,78,9,4f,Arrows,5,16,6,1,-0.407
312,50,Quartz Caplin,69,8,1f,Jess,3,14,6,1,-0.441
313,50,Daniel Tate,73,8,7m,Arcticwoof,6,8,1,1,-0.449
314,50,Bailey Truus,73,8,10f,Arrows,4,14,5,1,-0.467
315,50,Elon Emberstatt,61,8,10m,Kay,6,8,3,0,-0.486
316,50,Dysis Admea,59,7,7f,Stare,2,15,9,0,-0.489
317,50,Mantel Scoff,65,8,10m,Kousei,3,15,4,2,-0.548
318,50,Diorite Fray,75,9,1f,Gryphon,3,29,6,1,-0.564
319,49,Faye Sinclair,63,8,3f,Cici,1,18,9,1,-0.568
320,49,Marcus Fletcher,75,9,7m,Yoya,4,23,4,1,-0.596
321,49,Gabriel Izar,78,9,11m,Lyndis,5,15,3,2,-0.623
322,49,Ryanna Summit,74,8,7f,Azaleah,3,18,9,0,-0.657
323,49,Tauankia Ojai (Notchimine),68,9,6m,Windy,5,8,4,0,-0.666
324,49,Learna Libertine,62,9,4F,Tattletale,2,15,9,0,-0.678
325,48,Daniel Decatur,55,7,10m,Greenbeads,3,14,5,1,-0.679
326,48,Walker Liggens,61,8,9m,Specialk,4,13,2,2,-0.683
327,48,Molly Malachite,75,9,1f,Mrmista,2,37,10,0,-0.713
328,48,Hannah McEwen,66,9,2f,Specialk,1,19,7,2,-0.716
329,48,Moss Rose,66,9,11f,Ani,5,14,6,0,-0.736
330,48,Dymas Nyx,78,9,4m,Marr,7,7,4,0,-0.736
331,47,Meela Birdbrook,63,8,12f,Meg,2,16,9,0,-0.740
332,47,Valerie Leotos,68,9,2f,Rosetta,3,15,8,0,-0.746
333,47,Lightning O'Hana,75,9,4m,Arrows,3,31,8,0,-0.746
334,47,Ethan Taurus,60,8,6m,Cameron,BB,20,8,2,-0.793
335,47,Geo Venn,70,8,6m,Mattio,4,16,4,0,-0.793
336,47,Noah Bowers,70,8,8m,Rave,3,22,8,1,-0.800
337,46,Surge Alder,60,8,3m,Cass,3,11,4,1,-0.803
338,46,Tobias Staite,77,8,4m,Mattio,5,13,6,0,-0.806
339,46,Cecilia Brontz,72,9,8f,Marr,4,18,6,1,-0.812
340,46,Magenta Ryker,66,9,9f,Dars,4,15,7,0,-0.813
341,46,Ronnie Cheyne,75,9,4m,Frankel,3,27,5,1,-0.818
342,46,Henry Fleet,66,9,7m,Skittlekat,3,16,6,1,-0.853
343,46,Olivia Bell,57,8,10f,Alex,3,14,7,0,-0.875
344,45,Noreen Lyvers,61,8,10f,Charity,3,14,7,0,-0.875
345,45,Saxton Hale,71,9,5f,Grim,5,18,5,1,-0.879
346,45,Anarchy Brice,75,9,4f,Flyss,4,20,5,0,-0.887
347,45,Timothy Feldon,72,9,9m,Zoë,3,19,7,1,-0.888
348,45,Jacinda Zembori,67,8,8f,Briar,4,14,6,0,-0.901
349,45,Basil Isley,76,9,6f,Rave,2,22,9,0,-0.913
350,44,Samson Parish,77,8,4f,Kari,2,22,9,0,-0.913
351,44,Zagreus Moon,77,8,8m,Kaplan,5,11,5,0,-0.915
352,44,Abigale Tenan,55,7,9f,Sapphire,4,13,5,0,-0.943
353,44,Abel MacLaren,70,8,10m,Ghosty,3,20,9,0,-0.946
354,44,Glacia Eon,76,9,9f,Zoë,4,14,6,0,-0.951
355,44,Violetta Salazar,78,9,7f,Python,7,6,3,0,-0.989
356,43,Kale Forrest,55,7,12m,Kale,2,16,6,1,-0.994
357,43,Jeff Ryder,69,8,1m,Greenbeads,4,12,5,0,-1.010
358,43,Taurus Hawk,71,9,9m,Marr,5,16,6,0,-1.025
359,43,Kirk Marshall,68,9,10m,Charade,3,17,8,0,-1.034
360,43,Agatha Mirell,56,9,8f,Ray,2,12,7,0,-1.040
361,43,Weldon Morris,57,8,10m,Hayley,3,13,2,2,-1.054
362,43,Wendell Gordon,76,9,12m,Marr,5,12,5,0,-1.060
363,42,Raphale Grey,58,8,5m,Magnet,2,13,5,1,-1.065
364,42,Kendrick Draper,68,9,1m,Chaos,2,18,7,1,-1.074
365,42,Ruby Georges,54,9,7f,Teampeeta,2,15,8,0,-1.076
366,42,Maya Xiaoqing,70,8,9f,Azaleah,3,21,9,0,-1.090
367,42,Themba Kilera,57,8,7m,Wolf Tears,3,10,5,0,-1.093
368,42,Soyala Delaire,58,8,1f,Skylar,5,7,2,0,-1.110
369,41,Ezra Argrow,63,8,3m,North,3,13,6,0,-1.128
370,41,Rhaegar Hammerfell,77,8,2m,Cato,3,18,7,0,-1.130
371,41,Clarisse Wilmith,56,9,6f,Tori,4,9,4,0,-1.140
372,41,Seth Brogan,75,9,7m,Marr,3,32,7,0,-1.143
373,41,Delta Castley,72,9,9f,Kari,2,21,10,0,-1.146
374,41,Tiger Chautin,67,8,2f,Zoë,3,16,7,0,-1.164
375,40,Sirrah Birnam,77,8,11m,Kire,5,10,4,0,-1.169
376,40,Anthony Peterson,56,9,10m,Wingsonmyheels,1,19,10,0,-1.188
377,40,Iona Holbrook,73,8,11f,Cameo,3,19,8,0,-1.199
